char	wcswidth	cursor moved
ः	0	1
ऻ	0	1
ा	0	1
ि	0	1
ी	0	1
ॉ	0	1
ॊ	0	1
ो	0	1
ौ	0	1
ॎ	0	1
ॏ	0	1
ং	0	1
ঃ	0	1
ি	0	1
ী	0	1
ে	0	1
ৈ	0	1
ো	0	1
ৌ	0	1
ਃ	0	1
ਾ	0	1
ਿ	0	1
ੀ	0	1
ઃ	0	1
ા	0	1
િ	0	1
ી	0	1
ૉ	0	1
ો	0	1
ૌ	0	1
ଂ	0	1
ଃ	0	1
ୀ	0	1
େ	0	1
ୈ	0	1
ୋ	0	1
ୌ	0	1
ி	0	1
ு	0	1
ூ	0	1
ெ	0	1
ே	0	1
ை	0	1
ொ	0	1
ோ	0	1
ௌ	0	1
ఁ	0	1
ం	0	1
ః	0	1
ు	0	1
ూ	0	1
ృ	0	1
ౄ	0	1
ಂ	0	1
ಃ	0	1
ಾ	0	1
ು	0	1
ೃ	0	1
ೄ	0	1
ೳ	0	1
ം	0	1
ഃ	0	1
ി	0	1
ീ	0	1
െ	0	1
േ	0	1
ൈ	0	1
ൊ	0	1
ോ	0	1
ൌ	0	1
ൎ	1	0
ං	0	1
ඃ	0	1
ැ	0	1
ෑ	0	1
ෘ	0	1
ෙ	0	1
ේ	0	1
ෛ	0	1
ො	0	1
ෝ	0	1
ෞ	0	1
ෲ	0	1
ෳ	0	1
༾	0	1
༿	0	1
ཿ	0	1
ါ	0	1
ာ	0	1
ေ	0	1
း	0	1
ျ	0	1
ြ	0	1
ၖ	0	1
ၗ	0	1
ၢ	0	1
ၣ	0	1
ၤ	0	1
ၧ	0	1
ၨ	0	1
ၩ	0	1
ၪ	0	1
ၫ	0	1
ၬ	0	1
ၭ	0	1
ႃ	0	1
ႄ	0	1
ႇ	0	1
ႈ	0	1
ႉ	0	1
ႊ	0	1
ႋ	0	1
ႌ	0	1
ႏ	0	1
ႚ	0	1
ႛ	0	1
ႜ	0	1
᜕	0	1
᜴	0	1
ឤ	1	2
ា	0	1
ើ	0	1
ឿ	0	1
ៀ	0	1
េ	0	1
ែ	0	1
ៃ	0	1
ោ	0	1
ៅ	0	1
ះ	0	1
ៈ	0	1
៘	1	2
ᤣ	0	1
ᤤ	0	1
ᤥ	0	1
ᤦ	0	1
ᤩ	0	1
ᤪ	0	1
ᤫ	0	1
ᤰ	0	1
ᤱ	0	1
ᤳ	0	1
ᤴ	0	1
ᤵ	0	1
ᤶ	0	1
ᤷ	0	1
ᤸ	0	1
ᨙ	0	1
ᨚ	0	1
ᩕ	0	1
ᩗ	0	1
ᩡ	0	1
ᩣ	0	1
ᩤ	0	1
ᩭ	0	1
ᩮ	0	1
ᩯ	0	1
ᩰ	0	1
ᩱ	0	1
ᩲ	0	1
ᬄ	0	1
ᬾ	0	1
ᬿ	0	1
ᭀ	0	1
ᭁ	0	1
᭄	0	1
ᮂ	0	1
ᮡ	0	1
ᮦ	0	1
ᮧ	0	1
᮪	0	1
ᯧ	0	1
ᯪ	0	1
ᯫ	0	1
ᯬ	0	1
ᯮ	0	1
᯲	0	1
᯳	0	1
ᰤ	0	1
ᰥ	0	1
ᰦ	0	1
ᰧ	0	1
ᰨ	0	1
ᰩ	0	1
ᰪ	0	1
ᰫ	0	1
ᰴ	0	1
ᰵ	0	1
᳡	0	1
᳷	0	1
 	0	1
 	0	1
⵿	0	1
ㅤ	2	0
ꠣ	0	1
ꠤ	0	1
ꠧ	0	1
ꢀ	0	1
ꢁ	0	1
ꢴ	0	1
ꢵ	0	1
ꢶ	0	1
ꢷ	0	1
ꢸ	0	1
ꢹ	0	1
ꢺ	0	1
ꢻ	0	1
ꢼ	0	1
ꢽ	0	1
ꢾ	0	1
ꢿ	0	1
ꣀ	0	1
ꣁ	0	1
ꣂ	0	1
ꣃ	0	1
꣺	1	0
ꥒ	0	1
꥓	0	1
ꦃ	0	1
ꦴ	0	1
ꦵ	0	1
ꦺ	0	1
ꦻ	0	1
ꦾ	0	1
ꦿ	0	1
꧀	0	1
ꨯ	0	1
ꨰ	0	1
ꨳ	0	1
ꨴ	0	1
ꩍ	0	1
ꩻ	0	1
ꩽ	0	1
ꫫ	0	1
ꫮ	0	1
ꫯ	0	1
ꫵ	0	1
ꯣ	0	1
ꯤ	0	1
ꯦ	0	1
ꯧ	0	1
ꯩ	0	1
ꯪ	0	1
꯬	0	1
ﾞ	1	0
ﾟ	1	0
ﾠ	1	0
𑀀	0	1
𑀂	0	1
𑂂	0	1
𑂰	0	1
𑂱	0	1
𑂲	0	1
𑂷	0	1
𑂸	0	1
𑄬	0	1
𑅅	0	1
𑅆	0	1
𑆂	0	1
𑆳	0	1
𑆴	0	1
𑆵	0	1
𑆿	0	1
𑇀	0	1
𑇂	1	0
𑇃	1	0
𑇎	0	1
𑈬	0	1
𑈭	0	1
𑈮	0	1
𑈲	0	1
𑈳	0	1
𑈵	0	1
𑋠	0	1
𑋡	0	1
𑋢	0	1
𑌂	0	1
𑌃	0	1
𑌿	0	1
𑍁	0	1
𑍂	0	1
𑍃	0	1
𑍄	0	1
𑍇	0	1
𑍈	0	1
𑍋	0	1
𑍌	0	1
𑍍	0	1
𑍢	0	1
𑍣	0	1
𑐵	0	1
𑐶	0	1
𑐷	0	1
𑑀	0	1
𑑁	0	1
𑑅	0	1
𑒱	0	1
𑒲	0	1
𑒹	0	1
𑒻	0	1
𑒼	0	1
𑒾	0	1
𑓁	0	1
𑖰	0	1
𑖱	0	1
𑖸	0	1
𑖹	0	1
𑖺	0	1
𑖻	0	1
𑖾	0	1
𑘰	0	1
𑘱	0	1
𑘲	0	1
𑘻	0	1
𑘼	0	1
𑘾	0	1
𑚬	0	1
𑚮	0	1
𑚯	0	1
𑚶	0	1
𑜠	0	1
𑜡	0	1
𑜦	0	1
𑠬	0	1
𑠭	0	1
𑠮	0	1
𑠸	0	1
𑤱	0	1
𑤲	0	1
𑤳	0	1
𑤴	0	1
𑤵	0	1
𑤷	0	1
𑤸	0	1
𑤽	0	1
𑤿	1	0
𑥀	0	1
𑥁	1	0
𑥂	0	1
𑧑	0	1
𑧒	0	1
𑧓	0	1
𑧜	0	1
𑧝	0	1
𑧞	0	1
𑧟	0	1
𑧤	0	1
𑨹	0	1
𑨺	1	0
𑩗	0	1
𑩘	0	1
𑪄	1	0
𑪅	1	0
𑪆	1	0
𑪇	1	0
𑪈	1	0
𑪉	1	0
𑪗	0	1
𑰯	0	1
𑰾	0	1
𑲩	0	1
𑲱	0	1
𑲴	0	1
𑵆	1	0
𑶊	0	1
𑶋	0	1
𑶌	0	1
𑶍	0	1
𑶎	0	1
𑶓	0	1
𑶔	0	1
𑶖	0	1
𑻵	0	1
𑻶	0	1
𑼂	1	0
𑼃	0	1
𑼴	0	1
𑼵	0	1
𑼾	0	1
𑼿	0	1
𑽁	0	1
𖽑	0	1
𖽒	0	1
𖽓	0	1
𖽔	0	1
𖽕	0	1
𖽖	0	1
𖽗	0	1
𖽘	0	1
𖽙	0	1
𖽚	0	1
𖽛	0	1
𖽜	0	1
𖽝	0	1
𖽞	0	1
𖽟	0	1
𖽠	0	1
𖽡	0	1
𖽢	0	1
𖽣	0	1
𖽤	0	1
𖽥	0	1
𖽦	0	1
𖽧	0	1
𖽨	0	1
𖽩	0	1
𖽪	0	1
𖽫	0	1
𖽬	0	1
𖽭	0	1
𖽮	0	1
𖽯	0	1
𖽰	0	1
𖽱	0	1
𖽲	0	1
𖽳	0	1
𖽴	0	1
𖽵	0	1
𖽶	0	1
𖽷	0	1
𖽸	0	1
𖽹	0	1
𖽺	0	1
𖽻	0	1
𖽼	0	1
𖽽	0	1
𖽾	0	1
𖽿	0	1
𖾀	0	1
𖾁	0	1
𖾂	0	1
𖾃	0	1
𖾄	0	1
𖾅	0	1
𖾆	0	1
𖾇	0	1
𖿰	0	2
𖿱	0	2
𝅦	0	1
𝅭	0	1
🏻	0	2
🏼	0	2
🏽	0	2
🏾	0	2
🏿	0	2
