char	wcswidth	cursor moved
ः	0	1
ऻ	0	1
ा	0	1
ि	0	1
ी	0	1
ॉ	0	1
ॊ	0	1
ो	0	1
ौ	0	1
ॎ	0	1
ॏ	0	1
ং	0	1
ঃ	0	1
া	0	1
ি	0	1
ী	0	1
ে	0	1
ৈ	0	1
ো	0	1
ৌ	0	1
ৗ	0	1
ਃ	0	1
ਾ	0	1
ਿ	0	1
ੀ	0	1
ઃ	0	1
ા	0	1
િ	0	1
ી	0	1
ૉ	0	1
ો	0	1
ૌ	0	1
ଂ	0	1
ଃ	0	1
ା	0	1
ୀ	0	1
େ	0	1
ୈ	0	1
ୋ	0	1
ୌ	0	1
ୗ	0	1
ா	0	1
ி	0	1
ு	0	1
ூ	0	1
ெ	0	1
ே	0	1
ை	0	1
ொ	0	1
ோ	0	1
ௌ	0	1
ௗ	0	1
ఁ	0	1
ం	0	1
ః	0	1
ు	0	1
ూ	0	1
ృ	0	1
ౄ	0	1
ಂ	0	1
ಃ	0	1
ಾ	0	1
ೀ	0	1
ು	0	1
ೂ	0	1
ೃ	0	1
ೄ	0	1
ೇ	0	1
ೈ	0	1
ೊ	0	1
ೋ	0	1
ೕ	0	1
ೖ	0	1
ೳ	0	1
ം	0	1
ഃ	0	1
ാ	0	1
ി	0	1
ീ	0	1
െ	0	1
േ	0	1
ൈ	0	1
ൊ	0	1
ോ	0	1
ൌ	0	1
ൗ	0	1
ං	0	1
ඃ	0	1
ා	0	1
ැ	0	1
ෑ	0	1
ෘ	0	1
ෙ	0	1
ේ	0	1
ෛ	0	1
ො	0	1
ෝ	0	1
ෞ	0	1
ෟ	0	1
ෲ	0	1
ෳ	0	1
༾	0	1
༿	0	1
ཿ	0	1
ါ	0	1
ာ	0	1
ေ	0	1
း	0	1
ျ	0	1
ြ	0	1
ၖ	0	1
ၗ	0	1
ၢ	0	1
ၣ	0	1
ၤ	0	1
ၧ	0	1
ၨ	0	1
ၩ	0	1
ၪ	0	1
ၫ	0	1
ၬ	0	1
ၭ	0	1
ႃ	0	1
ႄ	0	1
ႇ	0	1
ႈ	0	1
ႉ	0	1
ႊ	0	1
ႋ	0	1
ႌ	0	1
ႏ	0	1
ႚ	0	1
ႛ	0	1
ႜ	0	1
᜕	0	1
᜴	0	1
ា	0	1
ើ	0	1
ឿ	0	1
ៀ	0	1
េ	0	1
ែ	0	1
ៃ	0	1
ោ	0	1
ៅ	0	1
ះ	0	1
ៈ	0	1
ᤣ	0	1
ᤤ	0	1
ᤥ	0	1
ᤦ	0	1
ᤩ	0	1
ᤪ	0	1
ᤫ	0	1
ᤰ	0	1
ᤱ	0	1
ᤳ	0	1
ᤴ	0	1
ᤵ	0	1
ᤶ	0	1
ᤷ	0	1
ᤸ	0	1
ᨙ	0	1
ᨚ	0	1
ᩕ	0	1
ᩗ	0	1
ᩡ	0	1
ᩣ	0	1
ᩤ	0	1
ᩭ	0	1
ᩮ	0	1
ᩯ	0	1
ᩰ	0	1
ᩱ	0	1
ᩲ	0	1
ᬄ	0	1
ᬵ	0	1
ᬻ	0	1
ᬽ	0	1
ᬾ	0	1
ᬿ	0	1
ᭀ	0	1
ᭁ	0	1
ᭃ	0	1
᭄	0	1
ᮂ	0	1
ᮡ	0	1
ᮦ	0	1
ᮧ	0	1
᮪	0	1
ᯧ	0	1
ᯪ	0	1
ᯫ	0	1
ᯬ	0	1
ᯮ	0	1
᯲	0	1
᯳	0	1
ᰤ	0	1
ᰥ	0	1
ᰦ	0	1
ᰧ	0	1
ᰨ	0	1
ᰩ	0	1
ᰪ	0	1
ᰫ	0	1
ᰴ	0	1
ᰵ	0	1
᳡	0	1
᳷	0	1
 	0	1
 	0	1
⸺	1	2
⸻	1	2
〮	0	2
〯	0	2
ꠣ	0	1
ꠤ	0	1
ꠧ	0	1
ꢀ	0	1
ꢁ	0	1
ꢴ	0	1
ꢵ	0	1
ꢶ	0	1
ꢷ	0	1
ꢸ	0	1
ꢹ	0	1
ꢺ	0	1
ꢻ	0	1
ꢼ	0	1
ꢽ	0	1
ꢾ	0	1
ꢿ	0	1
ꣀ	0	1
ꣁ	0	1
ꣂ	0	1
ꣃ	0	1
ꥒ	0	1
꥓	0	1
ꦃ	0	1
ꦴ	0	1
ꦵ	0	1
ꦺ	0	1
ꦻ	0	1
ꦾ	0	1
ꦿ	0	1
꧀	0	1
ꨯ	0	1
ꨰ	0	1
ꨳ	0	1
ꨴ	0	1
ꩍ	0	1
ꩻ	0	1
ꩽ	0	1
ꫫ	0	1
ꫮ	0	1
ꫯ	0	1
ꫵ	0	1
ꯣ	0	1
ꯤ	0	1
ꯦ	0	1
ꯧ	0	1
ꯩ	0	1
ꯪ	0	1
꯬	0	1
ힰ	0	1
ힱ	0	1
ힲ	0	1
ힳ	0	1
ힴ	0	1
ힵ	0	1
ힶ	0	1
ힷ	0	1
ힸ	0	1
ힹ	0	1
ힺ	0	1
ힻ	0	1
ힼ	0	1
ힽ	0	1
ힾ	0	1
ힿ	0	1
ퟀ	0	1
ퟁ	0	1
ퟂ	0	1
ퟃ	0	1
ퟄ	0	1
ퟅ	0	1
ퟆ	0	1
ퟋ	0	1
ퟌ	0	1
ퟍ	0	1
ퟎ	0	1
ퟏ	0	1
ퟐ	0	1
ퟑ	0	1
ퟒ	0	1
ퟓ	0	1
ퟔ	0	1
ퟕ	0	1
ퟖ	0	1
ퟗ	0	1
ퟘ	0	1
ퟙ	0	1
ퟚ	0	1
ퟛ	0	1
ퟜ	0	1
ퟝ	0	1
ퟞ	0	1
ퟟ	0	1
ퟠ	0	1
ퟡ	0	1
ퟢ	0	1
ퟣ	0	1
ퟤ	0	1
ퟥ	0	1
ퟦ	0	1
ퟧ	0	1
ퟨ	0	1
ퟩ	0	1
ퟪ	0	1
ퟫ	0	1
ퟬ	0	1
ퟭ	0	1
ퟮ	0	1
ퟯ	0	1
ퟰ	0	1
ퟱ	0	1
ퟲ	0	1
ퟳ	0	1
ퟴ	0	1
ퟵ	0	1
ퟶ	0	1
ퟷ	0	1
ퟸ	0	1
ퟹ	0	1
ퟺ	0	1
ퟻ	0	1
𑀀	0	1
𑀂	0	1
𑂂	0	1
𑂰	0	1
𑂱	0	1
𑂲	0	1
𑂷	0	1
𑂸	0	1
𑄬	0	1
𑅅	0	1
𑅆	0	1
𑆂	0	1
𑆳	0	1
𑆴	0	1
𑆵	0	1
𑆿	0	1
𑇀	0	1
𑇎	0	1
𑈬	0	1
𑈭	0	1
𑈮	0	1
𑈲	0	1
𑈳	0	1
𑈵	0	1
𑋠	0	1
𑋡	0	1
𑋢	0	1
𑌂	0	1
𑌃	0	1
𑌾	0	1
𑌿	0	1
𑍁	0	1
𑍂	0	1
𑍃	0	1
𑍄	0	1
𑍇	0	1
𑍈	0	1
𑍋	0	1
𑍌	0	1
𑍍	0	1
𑍗	0	1
𑍢	0	1
𑍣	0	1
𑐵	0	1
𑐶	0	1
𑐷	0	1
𑑀	0	1
𑑁	0	1
𑑅	0	1
𑒰	0	1
𑒱	0	1
𑒲	0	1
𑒹	0	1
𑒻	0	1
𑒼	0	1
𑒽	0	1
𑒾	0	1
𑓁	0	1
𑖯	0	1
𑖰	0	1
𑖱	0	1
𑖸	0	1
𑖹	0	1
𑖺	0	1
𑖻	0	1
𑖾	0	1
𑘰	0	1
𑘱	0	1
𑘲	0	1
𑘻	0	1
𑘼	0	1
𑘾	0	1
𑚬	0	1
𑚮	0	1
𑚯	0	1
𑚶	0	1
𑜠	0	1
𑜡	0	1
𑜦	0	1
𑠬	0	1
𑠭	0	1
𑠮	0	1
𑠸	0	1
𑤰	0	1
𑤱	0	1
𑤲	0	1
𑤳	0	1
𑤴	0	1
𑤵	0	1
𑤷	0	1
𑤸	0	1
𑤽	0	1
𑥀	0	1
𑥂	0	1
𑧑	0	1
𑧒	0	1
𑧓	0	1
𑧜	0	1
𑧝	0	1
𑧞	0	1
𑧟	0	1
𑧤	0	1
𑨹	0	1
𑩗	0	1
𑩘	0	1
𑪗	0	1
𑰯	0	1
𑰾	0	1
𑲩	0	1
𑲱	0	1
