char	wcswidth	cursor moved
ᅠ	0	1
ᅡ	0	1
ᅢ	0	1
ᅣ	0	1
ᅤ	0	1
ᅥ	0	1
ᅦ	0	1
ᅧ	0	1
ᅨ	0	1
ᅩ	0	1
ᅪ	0	1
ᅫ	0	1
ᅬ	0	1
ᅭ	0	1
ᅮ	0	1
ᅯ	0	1
ᅰ	0	1
ᅱ	0	1
ᅲ	0	1
ᅳ	0	1
ᅴ	0	1
ᅵ	0	1
ᅶ	0	1
ᅷ	0	1
ᅸ	0	1
ᅹ	0	1
ᅺ	0	1
ᅻ	0	1
ᅼ	0	1
ᅽ	0	1
ᅾ	0	1
ᅿ	0	1
ᆀ	0	1
ᆁ	0	1
ᆂ	0	1
ᆃ	0	1
ᆄ	0	1
ᆅ	0	1
ᆆ	0	1
ᆇ	0	1
ᆈ	0	1
ᆉ	0	1
ᆊ	0	1
ᆋ	0	1
ᆌ	0	1
ᆍ	0	1
ᆎ	0	1
ᆏ	0	1
ᆐ	0	1
ᆑ	0	1
ᆒ	0	1
ᆓ	0	1
ᆔ	0	1
ᆕ	0	1
ᆖ	0	1
ᆗ	0	1
ᆘ	0	1
ᆙ	0	1
ᆚ	0	1
ᆛ	0	1
ᆜ	0	1
ᆝ	0	1
ᆞ	0	1
ᆟ	0	1
ᆠ	0	1
ᆡ	0	1
ᆢ	0	1
ᆣ	0	1
ᆤ	0	1
ᆥ	0	1
ᆦ	0	1
ᆧ	0	1
ᆨ	0	1
ᆩ	0	1
ᆪ	0	1
ᆫ	0	1
ᆬ	0	1
ᆭ	0	1
ᆮ	0	1
ᆯ	0	1
ᆰ	0	1
ᆱ	0	1
ᆲ	0	1
ᆳ	0	1
ᆴ	0	1
ᆵ	0	1
ᆶ	0	1
ᆷ	0	1
ᆸ	0	1
ᆹ	0	1
ᆺ	0	1
ᆻ	0	1
ᆼ	0	1
ᆽ	0	1
ᆾ	0	1
ᆿ	0	1
ᇀ	0	1
ᇁ	0	1
ᇂ	0	1
ᇃ	0	1
ᇄ	0	1
ᇅ	0	1
ᇆ	0	1
ᇇ	0	1
ᇈ	0	1
ᇉ	0	1
ᇊ	0	1
ᇋ	0	1
ᇌ	0	1
ᇍ	0	1
ᇎ	0	1
ᇏ	0	1
ᇐ	0	1
ᇑ	0	1
ᇒ	0	1
ᇓ	0	1
ᇔ	0	1
ᇕ	0	1
ᇖ	0	1
ᇗ	0	1
ᇘ	0	1
ᇙ	0	1
ᇚ	0	1
ᇛ	0	1
ᇜ	0	1
ᇝ	0	1
ᇞ	0	1
ᇟ	0	1
ᇠ	0	1
ᇡ	0	1
ᇢ	0	1
ᇣ	0	1
ᇤ	0	1
ᇥ	0	1
ᇦ	0	1
ᇧ	0	1
ᇨ	0	1
ᇩ	0	1
ᇪ	0	1
ᇫ	0	1
ᇬ	0	1
ᇭ	0	1
ᇮ	0	1
ᇯ	0	1
ᇰ	0	1
ᇱ	0	1
ᇲ	0	1
ᇳ	0	1
ᇴ	0	1
ᇵ	0	1
ᇶ	0	1
ᇷ	0	1
ᇸ	0	1
ᇹ	0	1
ᇺ	0	1
ᇻ	0	1
ᇼ	0	1
ᇽ	0	1
ᇾ	0	1
ᇿ	0	1
〮	0	2
〯	0	2
ힰ	0	1
ힱ	0	1
ힲ	0	1
ힳ	0	1
ힴ	0	1
ힵ	0	1
ힶ	0	1
ힷ	0	1
ힸ	0	1
ힹ	0	1
ힺ	0	1
ힻ	0	1
ힼ	0	1
ힽ	0	1
ힾ	0	1
ힿ	0	1
ퟀ	0	1
ퟁ	0	1
ퟂ	0	1
ퟃ	0	1
ퟄ	0	1
ퟅ	0	1
ퟆ	0	1
ퟋ	0	1
ퟌ	0	1
ퟍ	0	1
ퟎ	0	1
ퟏ	0	1
ퟐ	0	1
ퟑ	0	1
ퟒ	0	1
ퟓ	0	1
ퟔ	0	1
ퟕ	0	1
ퟖ	0	1
ퟗ	0	1
ퟘ	0	1
ퟙ	0	1
ퟚ	0	1
ퟛ	0	1
ퟜ	0	1
ퟝ	0	1
ퟞ	0	1
ퟟ	0	1
ퟠ	0	1
ퟡ	0	1
ퟢ	0	1
ퟣ	0	1
ퟤ	0	1
ퟥ	0	1
ퟦ	0	1
ퟧ	0	1
ퟨ	0	1
ퟩ	0	1
ퟪ	0	1
ퟫ	0	1
ퟬ	0	1
ퟭ	0	1
ퟮ	0	1
ퟯ	0	1
ퟰ	0	1
ퟱ	0	1
ퟲ	0	1
ퟳ	0	1
ퟴ	0	1
ퟵ	0	1
ퟶ	0	1
ퟷ	0	1
ퟸ	0	1
ퟹ	0	1
ퟺ	0	1
ퟻ	0	1
𖿰	0	2
𖿱	0	2
🏻	0	2
🏼	0	2
🏽	0	2
🏾	0	2
🏿	0	2
